loss_avg;epoch;iteration;global_iteration
0.01294186245650053;0;100;100
0.008797414600849152;1;14;200
0.0006736889481544495;1;114;300
0.0007288178894668818;2;28;400
0.008699347265064716;2;128;500
0.0008458801894448698;3;42;600
0.0005266243824735284;3;142;700
0.0003767982416320592;4;56;800
0.006894306745380163;4;156;900
0.013915648683905602;5;70;1000
8.940011321101338e-05;5;170;1100
0.017495308071374893;6;84;1200
8.624902693554759e-05;6;184;1300
4.966949200024828e-05;7;98;1400
0.000179282869794406;8;12;1500
0.002816318767145276;8;112;1600
0.0013229072792455554;9;26;1700
9.30903188418597e-05;9;126;1800
8.095770317595452e-05;10;40;1900
7.984842523001134e-05;10;140;2000
0.0053455219604074955;11;54;2100
3.093421764788218e-05;11;154;2200
5.7076911616604775e-05;12;68;2300
0.00494212144985795;12;168;2400
5.350131687009707e-05;13;82;2500
4.222010829835199e-05;13;182;2600
0.011099541559815407;14;96;2700
0.00015080149751156569;15;10;2800
0.002471002284437418;15;110;2900
1.5431334759341553e-05;16;24;3000
0.0018416306702420115;16;124;3100
6.3478710217168555e-06;17;38;3200
0.0013043442741036415;17;138;3300
0.002146195387467742;18;52;3400
0.002470613457262516;18;152;3500
0.0002856589562725276;19;66;3600
1.4560165254806634e-05;19;166;3700
