loss;epoch;iteration;global_iteration
0.02588372491300106;0;100;100
0.017594829201698303;1;14;200
0.001347377896308899;1;114;300
0.0014576357789337635;2;28;400
0.017398694530129433;2;128;500
0.0016917603788897395;3;42;600
0.0010532487649470568;3;142;700
0.0007535964832641184;4;56;800
0.013788613490760326;4;156;900
0.027831297367811203;5;70;1000
0.00017880022642202675;5;170;1100
0.034990616142749786;6;84;1200
0.00017249805387109518;6;184;1300
9.933898400049657e-05;7;98;1400
0.000358565739588812;8;12;1500
0.005632637534290552;8;112;1600
0.002645814558491111;9;26;1700
0.0001861806376837194;9;126;1800
0.00016191540635190904;10;40;1900
0.0001596968504600227;10;140;2000
0.010691043920814991;11;54;2100
6.186843529576436e-05;11;154;2200
0.00011415382323320955;12;68;2300
0.0098842428997159;12;168;2400
0.00010700263374019414;13;82;2500
8.444021659670398e-05;13;182;2600
0.022199083119630814;14;96;2700
0.00030160299502313137;15;10;2800
0.004942004568874836;15;110;2900
3.0862669518683106e-05;16;24;3000
0.003683261340484023;16;124;3100
1.2695742043433711e-05;17;38;3200
0.002608688548207283;17;138;3300
0.004292390774935484;18;52;3400
0.004941226914525032;18;152;3500
0.0005713179125450552;19;66;3600
2.9120330509613268e-05;19;166;3700
