loss_avg;epoch;iteration;global_iteration
0.02061445266008377;0;100;100
0.017349280416965485;1;14;200
0.04769938811659813;1;114;300
0.01059738453477621;2;28;400
0.008810631930828094;2;128;500
0.00572815490886569;3;42;600
0.0040520657785236835;3;142;700
0.00873667374253273;4;56;800
0.004921679385006428;4;156;900
0.009851806797087193;5;70;1000
0.00243185693398118;5;170;1100
0.007683428004384041;6;84;1200
0.00866369716823101;6;184;1300
0.015841474756598473;7;98;1400
0.009236885234713554;8;12;1500
0.011634779162704945;8;112;1600
0.005223663058131933;9;26;1700
0.007275203708559275;9;126;1800
0.00996607169508934;10;40;1900
0.005830575246363878;10;140;2000
0.008286261931061745;11;54;2100
0.0033253051806241274;11;154;2200
0.00413908064365387;12;68;2300
0.007516438607126474;12;168;2400
0.006986449938267469;13;82;2500
0.011170606128871441;13;182;2600
0.008572159335017204;14;96;2700
0.005537264980375767;15;10;2800
0.011405941098928452;15;110;2900
0.008393741212785244;16;24;3000
0.011079438030719757;16;124;3100
0.008577905595302582;17;38;3200
0.0034598170313984156;17;138;3300
0.005011167377233505;18;52;3400
0.009667151607573032;18;152;3500
0.010500391013920307;19;66;3600
0.0061331624165177345;19;166;3700
