loss;epoch;iteration;global_iteration
0.04122890532016754;0;100;100
0.03469856083393097;1;14;200
0.09539877623319626;1;114;300
0.02119476906955242;2;28;400
0.01762126386165619;2;128;500
0.01145630981773138;3;42;600
0.008104131557047367;3;142;700
0.01747334748506546;4;56;800
0.009843358770012856;4;156;900
0.019703613594174385;5;70;1000
0.00486371386796236;5;170;1100
0.015366856008768082;6;84;1200
0.01732739433646202;6;184;1300
0.031682949513196945;7;98;1400
0.01847377046942711;8;12;1500
0.02326955832540989;8;112;1600
0.010447326116263866;9;26;1700
0.01455040741711855;9;126;1800
0.01993214339017868;10;40;1900
0.011661150492727757;10;140;2000
0.01657252386212349;11;54;2100
0.006650610361248255;11;154;2200
0.00827816128730774;12;68;2300
0.015032877214252949;12;168;2400
0.013972899876534939;13;82;2500
0.022341212257742882;13;182;2600
0.01714431867003441;14;96;2700
0.011074529960751534;15;10;2800
0.022811882197856903;15;110;2900
0.016787482425570488;16;24;3000
0.022158876061439514;16;124;3100
0.017155811190605164;17;38;3200
0.006919634062796831;17;138;3300
0.01002233475446701;18;52;3400
0.019334303215146065;18;152;3500
0.021000782027840614;19;66;3600
0.012266324833035469;19;166;3700
