loss_avg;epoch;iteration;global_iteration
0.02191171795129776;0;100;100
0.028332313522696495;1;14;200
0.05808155983686447;1;114;300
0.008422572165727615;2;28;400
0.011259263381361961;2;128;500
0.006985556799918413;3;42;600
0.011894162744283676;3;142;700
0.022819239646196365;4;56;800
0.03159505873918533;4;156;900
0.007015923969447613;5;70;1000
0.008010423742234707;5;170;1100
0.009791485965251923;6;84;1200
0.02878965064883232;6;184;1300
0.01052945014089346;7;98;1400
0.008342706598341465;8;12;1500
0.028884774073958397;8;112;1600
0.008206604979932308;9;26;1700
0.01567077450454235;9;126;1800
