lr;epoch;iteration;global_iteration
4.6139359698681735e-05;1;41;100
3.672316384180791e-05;3;23;200
2.730696798493409e-05;5;5;300
1.7890772128060267e-05;6;46;400
8.47457627118644e-06;8;28;500
