,,,,name_handle,,subscribers,1 post reach,citation index
Лента дня186 149 subscribersNews and media,https://tgstat.ru/en/channel/@lentadnya/stat,https://tgstat.ru/en/channel/,lentadnya/stat,lentadnya,stat,186 149,63.2k,1 284.2
186 149,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,63.2k,1 284.2,#68
63.2k,,drop,,#VALUE!,,1 post reach,citation index,Коза кричала90 679 subscribersNews and media
1 post reach,,drop,,#VALUE!,,1 284.2,#68,90 679
1 284.2,,drop,,#VALUE!,,citation index,Коза кричала90 679 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#68,90 679,56.3k
#68,#ERROR!,drop,,#VALUE!,,Коза кричала90 679 subscribersNews and media,subscribers,1 post reach
Коза кричала90 679 subscribersNews and media,https://tgstat.ru/en/channel/@kozakrichala/stat,https://tgstat.ru/en/channel/,kozakrichala/stat,kozakrichala,stat,90 679,56.3k,1 276.8
90 679,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,56.3k,1 276.8,#69
56.3k,,drop,,#VALUE!,,1 post reach,citation index,Пивоваров (Редакция)1 029 492 subscribersNews and media
1 post reach,,drop,,#VALUE!,,1 276.8,#69,1 029 492
1 276.8,,drop,,#VALUE!,,citation index,Пивоваров (Редакция)1 029 492 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#69,1 029 492,439.9k
#69,,drop,,#VALUE!,,Пивоваров (Редакция)1 029 492 subscribersNews and media,subscribers,1 post reach
Пивоваров (Редакция)1 029 492 subscribersNews and media,https://tgstat.ru/en/channel/@redakciya_channel/stat,https://tgstat.ru/en/channel/,redakciya_channel/stat,redakciya_channel,stat,1 029 492,439.9k,1 273.5
1 029 492,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,439.9k,1 273.5,#70
439.9k,,drop,,#VALUE!,,1 post reach,citation index,Новая газета269 546 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,1 273.5,#70,269 546
1 273.5,,drop,,#VALUE!,,citation index,Новая газета269 546 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#70,269 546,114k
#70,#ERROR!,drop,,#VALUE!,,Новая газета269 546 subscribersNews and media,subscribers,1 post reach
Новая газета269 546 subscribersNews and media,https://tgstat.ru/en/channel/@novaya_pishet/stat,https://tgstat.ru/en/channel/,novaya_pishet/stat,novaya_pishet,stat,269 546,114k,1 268.5
269 546,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,114k,1 268.5,#71
114k,,drop,,#VALUE!,,1 post reach,citation index,ОПЕР Слил106 447 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,1 268.5,#71,106 447
1 268.5,,drop,,#VALUE!,,citation index,ОПЕР Слил106 447 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#71,106 447,41.1k
#71,,drop,,#VALUE!,,ОПЕР Слил106 447 subscribersNews and media,subscribers,1 post reach
ОПЕР Слил106 447 subscribersNews and media,https://tgstat.ru/en/channel/@operdrain/stat,https://tgstat.ru/en/channel/,operdrain/stat,operdrain,stat,106 447,41.1k,1 240.0
106 447,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,41.1k,1 240.0,#72
41.1k,,drop,,#VALUE!,,1 post reach,citation index,Расстрига109 354 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,1 240.0,#72,109 354
1 240.0,,drop,,#VALUE!,,citation index,Расстрига109 354 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#72,109 354,33.4k
#72,,drop,,#VALUE!,,Расстрига109 354 subscribersNews and media,subscribers,1 post reach
Расстрига109 354 subscribersNews and media,https://tgstat.ru/en/channel/@rasstriga/stat,https://tgstat.ru/en/channel/,rasstriga/stat,rasstriga,stat,109 354,33.4k,1 223.8
109 354,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,33.4k,1 223.8,#73
33.4k,,drop,,#VALUE!,,1 post reach,citation index,АРХАНГЕЛ СПЕЦНАЗА Z🇷🇺695 485 subscribersNews and media
1 post reach,,drop,,#VALUE!,,1 223.8,#73,695 485
1 223.8,,drop,,#VALUE!,,citation index,АРХАНГЕЛ СПЕЦНАЗА Z🇷🇺695 485 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#73,695 485,572.6k
#73,#ERROR!,drop,,#VALUE!,,АРХАНГЕЛ СПЕЦНАЗА Z🇷🇺695 485 subscribersNews and media,subscribers,1 post reach
АРХАНГЕЛ СПЕЦНАЗА Z🇷🇺695 485 subscribersNews and media,https://tgstat.ru/en/channel/@rusich_army/stat,https://tgstat.ru/en/channel/,rusich_army/stat,rusich_army,stat,695 485,572.6k,1 215.4
695 485,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,572.6k,1 215.4,#74
572.6k,,drop,,#VALUE!,,1 post reach,citation index,Медиазона209 333 subscribersNews and media
1 post reach,,drop,,#VALUE!,,1 215.4,#74,209 333
1 215.4,,drop,,#VALUE!,,citation index,Медиазона209 333 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#74,209 333,71.7k
#74,,drop,,#VALUE!,,Медиазона209 333 subscribersNews and media,subscribers,1 post reach
Медиазона209 333 subscribersNews and media,https://tgstat.ru/en/channel/@mediazzzona/stat,https://tgstat.ru/en/channel/,mediazzzona/stat,mediazzzona,stat,209 333,71.7k,1 172.1
209 333,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,71.7k,1 172.1,#75
71.7k,,drop,,#VALUE!,,1 post reach,citation index,Объясняем.рф222 987 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,1 172.1,#75,222 987
1 172.1,,drop,,#VALUE!,,citation index,Объясняем.рф222 987 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#75,222 987,59.6k
#75,#ERROR!,drop,,#VALUE!,,Объясняем.рф222 987 subscribersNews and media,subscribers,1 post reach
Объясняем.рф222 987 subscribersNews and media,https://tgstat.ru/en/channel/@obyasnayemrf/stat,https://tgstat.ru/en/channel/,obyasnayemrf/stat,obyasnayemrf,stat,222 987,59.6k,1 171.8
222 987,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,59.6k,1 171.8,#76
59.6k,,drop,,#VALUE!,,1 post reach,citation index,Медиакиллер98 264 subscribersNews and media
1 post reach,,drop,,#VALUE!,,1 171.8,#76,98 264
1 171.8,,drop,,#VALUE!,,citation index,Медиакиллер98 264 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#76,98 264,25.7k
#76,,drop,,#VALUE!,,Медиакиллер98 264 subscribersNews and media,subscribers,1 post reach
Медиакиллер98 264 subscribersNews and media,https://tgstat.ru/en/channel/@mediakiller/stat,https://tgstat.ru/en/channel/,mediakiller/stat,mediakiller,stat,98 264,25.7k,1 157.7
98 264,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,25.7k,1 157.7,#77
25.7k,,drop,,#VALUE!,,1 post reach,citation index,Murado33 345 subscribersNews and media
1 post reach,,drop,,#VALUE!,,1 157.7,#77,33 345
1 157.7,,drop,,#VALUE!,,citation index,Murado33 345 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#77,33 345,306.5k
#77,#ERROR!,drop,,#VALUE!,,Murado33 345 subscribersNews and media,subscribers,1 post reach
Murado33 345 subscribersNews and media,https://tgstat.ru/en/channel/@msgazdiev/stat,https://tgstat.ru/en/channel/,msgazdiev/stat,msgazdiev,stat,33 345,306.5k,1 153.3
33 345,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,306.5k,1 153.3,#78
306.5k,,drop,,#VALUE!,,1 post reach,citation index,Mash на Мойке190 756 subscribersNews and media
1 post reach,,drop,,#VALUE!,,1 153.3,#78,190 756
1 153.3,,drop,,#VALUE!,,citation index,Mash на Мойке190 756 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#78,190 756,114.6k
#78,#ERROR!,drop,,#VALUE!,,Mash на Мойке190 756 subscribersNews and media,subscribers,1 post reach
Mash на Мойке190 756 subscribersNews and media,https://tgstat.ru/en/channel/@mashmoyka/stat,https://tgstat.ru/en/channel/,mashmoyka/stat,mashmoyka,stat,190 756,114.6k,1 137.8
190 756,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,114.6k,1 137.8,#79
114.6k,,drop,,#VALUE!,,1 post reach,citation index,Осташко! Важное336 513 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,1 137.8,#79,336 513
1 137.8,,drop,,#VALUE!,,citation index,Осташко! Важное336 513 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#79,336 513,123.3k
#79,#ERROR!,drop,,#VALUE!,,Осташко! Важное336 513 subscribersNews and media,subscribers,1 post reach
Осташко! Важное336 513 subscribersNews and media,https://tgstat.ru/en/channel/@OstashkoNews/stat,https://tgstat.ru/en/channel/,OstashkoNews/stat,OstashkoNews,stat,336 513,123.3k,1 113.8
336 513,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,123.3k,1 113.8,#80
123.3k,,drop,,#VALUE!,,1 post reach,citation index,The Bell109 660 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,1 113.8,#80,109 660
1 113.8,,drop,,#VALUE!,,citation index,The Bell109 660 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#80,109 660,38k
#80,,drop,,#VALUE!,,The Bell109 660 subscribersNews and media,subscribers,1 post reach
The Bell109 660 subscribersNews and media,https://tgstat.ru/en/channel/@thebell_io/stat,https://tgstat.ru/en/channel/,thebell_io/stat,thebell_io,stat,109 660,38k,1 100.9
109 660,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,38k,1 100.9,#81
38k,,drop,,#VALUE!,,1 post reach,citation index,InformNapalm151 463 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,1 100.9,#81,151 463
1 100.9,,drop,,#VALUE!,,citation index,InformNapalm151 463 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#81,151 463,62k
#81,,drop,,#VALUE!,,InformNapalm151 463 subscribersNews and media,subscribers,1 post reach
InformNapalm151 463 subscribersNews and media,https://tgstat.ru/en/channel/@informnapalm/stat,https://tgstat.ru/en/channel/,informnapalm/stat,informnapalm,stat,151 463,62k,1 095.1
151 463,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,62k,1 095.1,#82
62k,,drop,,#VALUE!,,1 post reach,citation index,"Срочно, Сейчас201 306 subscribersNews and media"
1 post reach,,drop,,#VALUE!,,1 095.1,#82,201 306
1 095.1,,drop,,#VALUE!,,citation index,"Срочно, Сейчас201 306 subscribersNews and media",subscribers
citation index,#ERROR!,drop,,#VALUE!,,#82,201 306,52.7k
#82,,drop,,#VALUE!,,"Срочно, Сейчас201 306 subscribersNews and media",subscribers,1 post reach
"Срочно, Сейчас201 306 subscribersNews and media",https://tgstat.ru/en/channel/@srochnow/stat,https://tgstat.ru/en/channel/,srochnow/stat,srochnow,stat,201 306,52.7k,1 071.3
201 306,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,52.7k,1 071.3,#83
52.7k,,drop,,#VALUE!,,1 post reach,citation index,Радио Sputnik38 614 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,1 071.3,#83,38 614
1 071.3,,drop,,#VALUE!,,citation index,Радио Sputnik38 614 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#83,38 614,8.2k
#83,#ERROR!,drop,,#VALUE!,,Радио Sputnik38 614 subscribersNews and media,subscribers,1 post reach
Радио Sputnik38 614 subscribersNews and media,https://tgstat.ru/en/channel/@radio_sputnik/stat,https://tgstat.ru/en/channel/,radio_sputnik/stat,radio_sputnik,stat,38 614,8.2k,1 051.2
38 614,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,8.2k,1 051.2,#84
8.2k,,drop,,#VALUE!,,1 post reach,citation index,Fuck you That's Why27 975 subscribersNews and media
1 post reach,,drop,,#VALUE!,,1 051.2,#84,27 975
1 051.2,,drop,,#VALUE!,,citation index,Fuck you That's Why27 975 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#84,27 975,6.1k
#84,,drop,,#VALUE!,,Fuck you That's Why27 975 subscribersNews and media,subscribers,1 post reach
Fuck you That's Why27 975 subscribersNews and media,https://tgstat.ru/en/channel/@fuckyouthatswhy/stat,https://tgstat.ru/en/channel/,fuckyouthatswhy/stat,fuckyouthatswhy,stat,27 975,6.1k,1 040.3
27 975,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,6.1k,1 040.3,#85
6.1k,,drop,,#VALUE!,,1 post reach,citation index,Неудаща63 581 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,1 040.3,#85,63 581
1 040.3,,drop,,#VALUE!,,citation index,Неудаща63 581 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#85,63 581,14.7k
#85,#ERROR!,drop,,#VALUE!,,Неудаща63 581 subscribersNews and media,subscribers,1 post reach
Неудаща63 581 subscribersNews and media,https://tgstat.ru/en/channel/@dirtytatarstan/stat,https://tgstat.ru/en/channel/,dirtytatarstan/stat,dirtytatarstan,stat,63 581,14.7k,1 036.4
63 581,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,14.7k,1 036.4,#86
14.7k,,drop,,#VALUE!,,1 post reach,citation index,Inside 🅉 Donetsk59 828 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,1 036.4,#86,59 828
1 036.4,,drop,,#VALUE!,,citation index,Inside 🅉 Donetsk59 828 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#86,59 828,10.3k
#86,,drop,,#VALUE!,,Inside 🅉 Donetsk59 828 subscribersNews and media,subscribers,1 post reach
Inside 🅉 Donetsk59 828 subscribersNews and media,https://tgstat.ru/en/channel/@Doninside/stat,https://tgstat.ru/en/channel/,Doninside/stat,Doninside,stat,59 828,10.3k,1 030.2
59 828,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,10.3k,1 030.2,#87
10.3k,,drop,,#VALUE!,,1 post reach,citation index,Херсонский Вестник59 296 subscribersNews and media
1 post reach,,drop,,#VALUE!,,1 030.2,#87,59 296
1 030.2,,drop,,#VALUE!,,citation index,Херсонский Вестник59 296 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#87,59 296,33.9k
#87,,drop,,#VALUE!,,Херсонский Вестник59 296 subscribersNews and media,subscribers,1 post reach
Херсонский Вестник59 296 subscribersNews and media,https://tgstat.ru/en/channel/@HersonVestnik/stat,https://tgstat.ru/en/channel/,HersonVestnik/stat,HersonVestnik,stat,59 296,33.9k,1 026.3
59 296,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,33.9k,1 026.3,#88
33.9k,,drop,,#VALUE!,,1 post reach,citation index,"ИА ""Стекломой""61 088 subscribersNews and media"
1 post reach,,drop,,#VALUE!,,1 026.3,#88,61 088
1 026.3,,drop,,#VALUE!,,citation index,"ИА ""Стекломой""61 088 subscribersNews and media",subscribers
citation index,#ERROR!,drop,,#VALUE!,,#88,61 088,29.8k
#88,,drop,,#VALUE!,,"ИА ""Стекломой""61 088 subscribersNews and media",subscribers,1 post reach
"ИА ""Стекломой""61 088 subscribersNews and media",https://tgstat.ru/en/channel/@ia_steklomoy/stat,https://tgstat.ru/en/channel/,ia_steklomoy/stat,ia_steklomoy,stat,61 088,29.8k,1 018.0
61 088,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,29.8k,1 018.0,#89
29.8k,,drop,,#VALUE!,,1 post reach,citation index,Карточный Домик: Россия16 838 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,1 018.0,#89,16 838
1 018.0,,drop,,#VALUE!,,citation index,Карточный Домик: Россия16 838 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#89,16 838,2.7k
#89,#ERROR!,drop,,#VALUE!,,Карточный Домик: Россия16 838 subscribersNews and media,subscribers,1 post reach
Карточный Домик: Россия16 838 subscribersNews and media,https://tgstat.ru/en/channel/@HouseOfCardsRussia/stat,https://tgstat.ru/en/channel/,HouseOfCardsRussia/stat,HouseOfCardsRussia,stat,16 838,2.7k,998.8
16 838,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,2.7k,998.8,#90
2.7k,,drop,,#VALUE!,,1 post reach,citation index,Росич | Rosich171 360 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,998.8,#90,171 360
998.8,,drop,,#VALUE!,,citation index,Росич | Rosich171 360 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#90,171 360,63.7k
#90,,drop,,#VALUE!,,Росич | Rosich171 360 subscribersNews and media,subscribers,1 post reach
Росич | Rosich171 360 subscribersNews and media,https://tgstat.ru/en/channel/@rosich_ru/stat,https://tgstat.ru/en/channel/,rosich_ru/stat,rosich_ru,stat,171 360,63.7k,996.6
171 360,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,63.7k,996.6,#91
63.7k,,drop,,#VALUE!,,1 post reach,citation index,ebobo428 464 subscribersNews and media
1 post reach,,drop,,#VALUE!,,996.6,#91,428 464
996.6,,drop,,#VALUE!,,citation index,ebobo428 464 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#91,428 464,48.3k
#91,,drop,,#VALUE!,,ebobo428 464 subscribersNews and media,subscribers,1 post reach
ebobo428 464 subscribersNews and media,https://tgstat.ru/en/channel/@ebobo_rus/stat,https://tgstat.ru/en/channel/,ebobo_rus/stat,ebobo_rus,stat,428 464,48.3k,995.7
428 464,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,48.3k,995.7,#92
48.3k,,drop,,#VALUE!,,1 post reach,citation index,Агрегатор Правды ☮️99 094 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,995.7,#92,99 094
995.7,,drop,,#VALUE!,,citation index,Агрегатор Правды ☮️99 094 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#92,99 094,27.5k
#92,,drop,,#VALUE!,,Агрегатор Правды ☮️99 094 subscribersNews and media,subscribers,1 post reach
Агрегатор Правды ☮️99 094 subscribersNews and media,https://tgstat.ru/en/channel/@truth_aggregator/stat,https://tgstat.ru/en/channel/,truth_aggregator/stat,truth_aggregator,stat,99 094,27.5k,995.7
99 094,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,27.5k,995.7,#93
27.5k,,drop,,#VALUE!,,1 post reach,citation index,Фонтанка SPB Online152 135 subscribersNews and media
1 post reach,,drop,,#VALUE!,,995.7,#93,152 135
995.7,,drop,,#VALUE!,,citation index,Фонтанка SPB Online152 135 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#93,152 135,56.9k
#93,#ERROR!,drop,,#VALUE!,,Фонтанка SPB Online152 135 subscribersNews and media,subscribers,1 post reach
Фонтанка SPB Online152 135 subscribersNews and media,https://tgstat.ru/en/channel/@fontankaspb/stat,https://tgstat.ru/en/channel/,fontankaspb/stat,fontankaspb,stat,152 135,56.9k,983.8
152 135,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,56.9k,983.8,#94
56.9k,,drop,,#VALUE!,,1 post reach,citation index,Русская Весна Z : спецоперация на Украине и Донбассе208 556 subscribersNews and media
1 post reach,,drop,,#VALUE!,,983.8,#94,208 556
983.8,,drop,,#VALUE!,,citation index,Русская Весна Z : спецоперация на Украине и Донбассе208 556 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#94,208 556,123.5k
#94,#ERROR!,drop,,#VALUE!,,Русская Весна Z : спецоперация на Украине и Донбассе208 556 subscribersNews and media,subscribers,1 post reach
Русская Весна Z : спецоперация на Украине и Донбассе208 556 subscribersNews and media,https://tgstat.ru/en/channel/@rusvesnasu/stat,https://tgstat.ru/en/channel/,rusvesnasu/stat,rusvesnasu,stat,208 556,123.5k,981.7
208 556,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,123.5k,981.7,#95
123.5k,,drop,,#VALUE!,,1 post reach,citation index,ГОЛОВАНОВ60 457 subscribersNews and media
1 post reach,,drop,,#VALUE!,,981.7,#95,60 457
981.7,,drop,,#VALUE!,,citation index,ГОЛОВАНОВ60 457 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#95,60 457,72.5k
#95,#ERROR!,drop,,#VALUE!,,ГОЛОВАНОВ60 457 subscribersNews and media,subscribers,1 post reach
ГОЛОВАНОВ60 457 subscribersNews and media,https://tgstat.ru/en/channel/@romagolovanov/stat,https://tgstat.ru/en/channel/,romagolovanov/stat,romagolovanov,stat,60 457,72.5k,949.3
60 457,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,72.5k,949.3,#96
72.5k,,drop,,#VALUE!,,1 post reach,citation index,Оκτагон35 292 subscribersNews and media
1 post reach,,drop,,#VALUE!,,949.3,#96,35 292
949.3,,drop,,#VALUE!,,citation index,Оκτагон35 292 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#96,35 292,7.5k
#96,#ERROR!,drop,,#VALUE!,,Оκτагон35 292 subscribersNews and media,subscribers,1 post reach
Оκτагон35 292 subscribersNews and media,https://tgstat.ru/en/channel/@octagonmedia/stat,https://tgstat.ru/en/channel/,octagonmedia/stat,octagonmedia,stat,35 292,7.5k,944.4
35 292,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,7.5k,944.4,#97
7.5k,,drop,,#VALUE!,,1 post reach,citation index,Аким Апачев 🏹71 267 subscribersNews and media
1 post reach,,drop,,#VALUE!,,944.4,#97,71 267
944.4,,drop,,#VALUE!,,citation index,Аким Апачев 🏹71 267 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#97,71 267,62.8k
#97,#ERROR!,drop,,#VALUE!,,Аким Апачев 🏹71 267 subscribersNews and media,subscribers,1 post reach
Аким Апачев 🏹71 267 subscribersNews and media,https://tgstat.ru/en/channel/@akimapachev/stat,https://tgstat.ru/en/channel/,akimapachev/stat,akimapachev,stat,71 267,62.8k,943.7
71 267,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,62.8k,943.7,#98
62.8k,,drop,,#VALUE!,,1 post reach,citation index,Экономика Москвы42 051 subscribersNews and media
1 post reach,,drop,,#VALUE!,,943.7,#98,42 051
943.7,,drop,,#VALUE!,,citation index,Экономика Москвы42 051 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#98,42 051,29.3k
#98,,drop,,#VALUE!,,Экономика Москвы42 051 subscribersNews and media,subscribers,1 post reach
Экономика Москвы42 051 subscribersNews and media,https://tgstat.ru/en/channel/@MoscowEcon/stat,https://tgstat.ru/en/channel/,MoscowEcon/stat,MoscowEcon,stat,42 051,29.3k,942.9
42 051,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,29.3k,942.9,#99
29.3k,,drop,,#VALUE!,,1 post reach,citation index,Люди Z68 271 subscribersNews and media
1 post reach,,drop,,#VALUE!,,942.9,#99,68 271
942.9,,drop,,#VALUE!,,citation index,Люди Z68 271 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#99,68 271,29.5k
#99,,drop,,#VALUE!,,Люди Z68 271 subscribersNews and media,subscribers,1 post reach
Люди Z68 271 subscribersNews and media,https://tgstat.ru/en/channel/@lu_di_z/stat,https://tgstat.ru/en/channel/,lu_di_z/stat,lu_di_z,stat,68 271,29.5k,932.9
68 271,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,29.5k,932.9,#100
29.5k,,drop,,#VALUE!,,1 post reach,citation index,Наш Regnum33 418 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,932.9,#100,33 418
932.9,,drop,,#VALUE!,,citation index,Наш Regnum33 418 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#100,33 418,7.9k
#100,#ERROR!,drop,,#VALUE!,,Наш Regnum33 418 subscribersNews and media,subscribers,1 post reach
Наш Regnum33 418 subscribersNews and media,https://tgstat.ru/en/channel/@regnum_na/stat,https://tgstat.ru/en/channel/,regnum_na/stat,regnum_na,stat,33 418,7.9k,932.6
33 418,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,7.9k,932.6,Кровавая барыня1 370 496 subscribersBlogs
7.9k,,drop,,#VALUE!,,1 post reach,citation index,1 370 496
1 post reach,,drop,,#VALUE!,,932.6,Кровавая барыня1 370 496 subscribersBlogs,subscribers
932.6,,drop,,#VALUE!,,citation index,1 370 496,645.3k
citation index,,drop,,#VALUE!,,Кровавая барыня1 370 496 subscribersBlogs,subscribers,1 post reach
Кровавая барыня1 370 496 subscribersBlogs,https://tgstat.ru/en/channel/@bloodysx/stat,https://tgstat.ru/en/channel/,bloodysx/stat,bloodysx,stat,1 370 496,645.3k,3 134.9
1 370 496,#ERROR!,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,645.3k,3 134.9,#2
645.3k,#ERROR!,drop,,#VALUE!,,1 post reach,citation index,Поддубный |Z|О|V| edition924 339 subscribersBlogs
1 post reach,#ERROR!,drop,,#VALUE!,,3 134.9,#2,924 339
3 134.9,#ERROR!,drop,,#VALUE!,,citation index,Поддубный |Z|О|V| edition924 339 subscribersBlogs,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#2,924 339,527.8k
#2,#ERROR!,drop,,#VALUE!,,Поддубный |Z|О|V| edition924 339 subscribersBlogs,subscribers,1 post reach
Поддубный |Z|О|V| edition924 339 subscribersBlogs,https://tgstat.ru/en/channel/@epoddubny/stat,https://tgstat.ru/en/channel/,epoddubny/stat,epoddubny,stat,924 339,527.8k,2 958.1
924 339,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,527.8k,2 958.1,#3
527.8k,,drop,,#VALUE!,,1 post reach,citation index,НЕБОЖЕНА480 309 subscribersBlogs
1 post reach,,drop,,#VALUE!,,2 958.1,#3,480 309
2 958.1,,drop,,#VALUE!,,citation index,НЕБОЖЕНА480 309 subscribersBlogs,subscribers
citation index,,drop,,#VALUE!,,#3,480 309,172.9k
#3,,drop,,#VALUE!,,НЕБОЖЕНА480 309 subscribersBlogs,subscribers,1 post reach
НЕБОЖЕНА480 309 subscribersBlogs,https://tgstat.ru/en/channel/@imnotbozhena/stat,https://tgstat.ru/en/channel/,imnotbozhena/stat,imnotbozhena,stat,480 309,172.9k,2 710.5
480 309,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,172.9k,2 710.5,#4
