,,,,name_handle,,subscribers,1 post reach,citation index
231.5k,,drop,,#VALUE!,,1 post reach,citation index,URA.RU203 331 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,4 560.1,#10,203 331
4 560.1,,drop,,#VALUE!,,citation index,URA.RU203 331 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#10,203 331,86.1k
#10,,drop,,#VALUE!,,URA.RU203 331 subscribersNews and media,subscribers,1 post reach
URA.RU203 331 subscribersNews and media,https://tgstat.ru/en/channel/@uranews/stat,https://tgstat.ru/en/channel/,uranews/stat,uranews,stat,203 331,86.1k,4 427.8
203 331,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,86.1k,4 427.8,#11
86.1k,,drop,,#VALUE!,,1 post reach,citation index,РБК360 422 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,4 427.8,#11,360 422
4 427.8,,drop,,#VALUE!,,citation index,РБК360 422 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#11,360 422,102.6k
#11,#ERROR!,drop,,#VALUE!,,РБК360 422 subscribersNews and media,subscribers,1 post reach
РБК360 422 subscribersNews and media,https://tgstat.ru/en/channel/@rbc_news/stat,https://tgstat.ru/en/channel/,rbc_news/stat,rbc_news,stat,360 422,102.6k,4 057.3
360 422,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,102.6k,4 057.3,#12
102.6k,,drop,,#VALUE!,,1 post reach,citation index,Москвач • Новости Москвы643 356 subscribersNews and media
1 post reach,,drop,,#VALUE!,,4 057.3,#12,643 356
4 057.3,,drop,,#VALUE!,,citation index,Москвач • Новости Москвы643 356 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#12,643 356,266.8k
#12,,drop,,#VALUE!,,Москвач • Новости Москвы643 356 subscribersNews and media,subscribers,1 post reach
Москвач • Новости Москвы643 356 subscribersNews and media,https://tgstat.ru/en/channel/@moscowach/stat,https://tgstat.ru/en/channel/,moscowach/stat,moscowach,stat,643 356,266.8k,3 715.8
643 356,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,266.8k,3 715.8,#13
266.8k,,drop,,#VALUE!,,1 post reach,citation index,WarGonzo1 331 728 subscribersNews and media
1 post reach,,drop,,#VALUE!,,3 715.8,#13,1 331 728
3 715.8,,drop,,#VALUE!,,citation index,WarGonzo1 331 728 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#13,1 331 728,667.8k
