,id,date,from_id,to_id,fwd_from,message,type,duration
218,2293774,2022-11-18 13:37:06+00:00,PeerUser(user_id=5634733079),PeerChannel(channel_id=1234644047),,"Хохлы во время сражений 1941 года первыми начали сдаваться в плен немцам, подрывая боевой дух в войсках. Ну а выходцы с западной Украины вообще в лучшем случае бежали из Красной Армии, а в худшем ещё и в спину стреляли",text,
219,2293765,2022-11-18 13:36:28+00:00,PeerUser(user_id=5224742239),PeerChannel(channel_id=1234644047),,Нацизм на Украине - это ментальное.,text,
220,2293755,2022-11-18 13:35:47+00:00,PeerUser(user_id=2121986798),PeerChannel(channel_id=1234644047),,"Не знаю, генетика или нет. Они всю жизнь под подстраивались, под поляков, австрийцев, румын, венгров. Я опять задаю вопрос. А белорусы? Почему они другие",text,
221,2293747,2022-11-18 13:35:02+00:00,PeerUser(user_id=1832452219),PeerChannel(channel_id=1234644047),,Инфа про деда Шольца была фейком,text,
222,2293717,2022-11-18 13:33:13+00:00,PeerUser(user_id=1722804457),PeerChannel(channel_id=1234644047),,"И видео полно, как хохло-западенские бл* под ручку гуляли с нацистским дерьмом! До того это были предатели, а после шлифовки нациками народилось нынешнее стадо",text,
223,2293707,2022-11-18 13:32:02+00:00,PeerUser(user_id=473760246),PeerChannel(channel_id=1234644047),,"Это Львов, а не Киев. Исправьте.",text,
224,2293706,2022-11-18 13:31:55+00:00,PeerUser(user_id=5558763224),PeerChannel(channel_id=1234644047),,Вы в Киеве?,text,
225,2293702,2022-11-18 13:31:43+00:00,PeerUser(user_id=1743685213),PeerChannel(channel_id=1234644047),,Собака всегда хозяина встречает виляя хвостом.,text,
226,2293699,2022-11-18 13:31:18+00:00,PeerUser(user_id=5228519798),PeerChannel(channel_id=1234644047),,"То что хохлы как шалавы встречают фашисты с цветами, при чём тут все и говно?",text,
227,2293693,2022-11-18 13:30:50+00:00,PeerUser(user_id=5294328397),PeerChannel(channel_id=1234644047),,"Самое непонятное в этом то, что советская власть скрывала от своего же народа эту правду. Мифическая ""дружба народов"" так засрала нам мозги, что многие из нас до сих пор считают хохлов братьями. Никогда нельзя скрывать правду.",text,
228,2293691,2022-11-18 13:30:34+00:00,PeerUser(user_id=199043663),PeerChannel(channel_id=1234644047),,Львов польшей был),text,
229,2293687,2022-11-18 13:30:21+00:00,PeerUser(user_id=1434481698),PeerChannel(channel_id=1234644047),,И так из века в век,text,
230,2293686,2022-11-18 13:30:16+00:00,PeerUser(user_id=5224742239),PeerChannel(channel_id=1234644047),,Львов тоже встречал фашистов хлебом-солью и парадами зигующих львовских баб в вышиванках. Фото есть в сети.,text,
231,2293679,2022-11-18 13:29:14+00:00,PeerUser(user_id=5634733079),PeerChannel(channel_id=1234644047),,"Версий много, а генетические анализы ДНК никуда не денешь. Можете даже карту посмотреть европейскую генетическую - распространение гаплогрупп в разных странах Европы.
Ещё раз подчеркну - решает не генетика, а идеи и убеждения и осознание себя в той или иной системе координат.",text,
232,2293658,2022-11-18 13:26:42+00:00,PeerUser(user_id=1495698782),PeerChannel(channel_id=1234644047),,"Так то немцы были тоже против, чтобы Украина имела свою армию.",text,
233,2293644,2022-11-18 13:24:37+00:00,PeerUser(user_id=1712783298),PeerChannel(channel_id=1234644047),,"У них даже фамилии с жителями Кубани одинаковые, о чем ты",text,
234,2293636,2022-11-18 13:23:40+00:00,PeerUser(user_id=5771265981),PeerChannel(channel_id=1234644047),,Как это относится к настоящему времени? Где потомки этих павших? Растоптали память и наследие своих предков и воюют с НАТО против нас.,text,
235,2293635,2022-11-18 13:23:36+00:00,PeerUser(user_id=627245713),PeerChannel(channel_id=1234644047),,Нет. Версий много.,text,
