loss;epoch;iteration;global_iteration
0.057982973754405975;0;100;100
0.059732094407081604;1;14;200
0.0523311048746109;1;114;300
0.005308733321726322;2;28;400
0.024411343038082123;2;128;500
0.03183441609144211;3;42;600
0.01867062598466873;3;142;700
0.022306101396679878;4;56;800
0.06056135892868042;4;156;900
0.008848471567034721;5;70;1000
0.0056369430385529995;5;170;1100
0.014087054878473282;6;84;1200
0.005615862086415291;6;184;1300
0.013732352294027805;7;98;1400
0.008104872889816761;8;12;1500
0.02033216878771782;8;112;1600
0.007335446309298277;9;26;1700
0.012155754491686821;9;126;1800
0.006901043001562357;10;40;1900
0.023904358968138695;10;140;2000
0.0074265627190470695;11;54;2100
0.0056702084839344025;11;154;2200
0.020623793825507164;12;68;2300
0.019457072019577026;12;168;2400
0.006696533877402544;13;82;2500
0.013680711388587952;13;182;2600
0.015175110660493374;14;96;2700
0.011671970598399639;15;10;2800
0.01977740041911602;15;110;2900
0.010204852558672428;16;24;3000
0.025330036878585815;16;124;3100
0.01118173636496067;17;38;3200
0.023423990234732628;17;138;3300
0.02080988697707653;18;52;3400
0.006339258048683405;18;152;3500
0.007704263087362051;19;66;3600
0.010366078466176987;19;166;3700
