loss;epoch;iteration;global_iteration
0.039695098996162415;0;100;100
0.014650504104793072;1;14;200
0.044529858976602554;1;114;300
0.017603423446416855;2;28;400
0.01122915931046009;2;128;500
0.02836962230503559;3;42;600
0.07494939118623734;3;142;700
0.019271723926067352;4;56;800
0.01695779152214527;4;156;900
0.018267229199409485;5;70;1000
0.02396981790661812;5;170;1100
0.03810345381498337;6;84;1200
0.010713200084865093;6;184;1300
0.007554262410849333;7;98;1400
0.01703243888914585;8;12;1500
0.006916083861142397;8;112;1600
0.011932434514164925;9;26;1700
0.008185608312487602;9;126;1800
0.03946512192487717;10;40;1900
0.030673403292894363;10;140;2000
0.02502206340432167;11;54;2100
0.025342551991343498;11;154;2200
0.007011714857071638;12;68;2300
0.01156833115965128;12;168;2400
0.003698073560371995;13;82;2500
0.015477930195629597;13;182;2600
0.006773566361516714;14;96;2700
0.00804988294839859;15;10;2800
0.008555467240512371;15;110;2900
0.017779342830181122;16;24;3000
0.006036725826561451;16;124;3100
0.012911032885313034;17;38;3200
0.0038663498125970364;17;138;3300
0.0034749233163893223;18;52;3400
0.00969372782856226;18;152;3500
0.011462879367172718;19;66;3600
0.005493197124451399;19;166;3700
