loss;epoch;iteration;global_iteration
0.04200553521513939;0;100;100
0.023987172171473503;1;14;200
0.03243238478899002;1;114;300
0.004211068619042635;2;28;400
0.01709454506635666;2;128;500
0.0006523127667605877;3;42;600
0.002350553637370467;3;142;700
0.0032845570240169764;4;56;800
0.004441715311259031;4;156;900
0.0007370054954662919;5;70;1000
0.03148869797587395;5;170;1100
0.0001060575814335607;6;84;1200
9.35829448280856e-05;6;184;1300
0.0003920157323591411;7;98;1400
0.022587696090340614;8;12;1500
0.0002415375056443736;8;112;1600
0.00794644933193922;9;26;1700
0.003459203988313675;9;126;1800
0.0001399057946400717;10;40;1900
0.00014486850704997778;10;140;2000
3.0470006095129065e-05;11;54;2100
0.010022765956819057;11;154;2200
0.00011194615944987163;12;68;2300
0.00038906492409296334;12;168;2400
0.00010599820234347135;13;82;2500
5.120252535562031e-05;13;182;2600
0.02213636040687561;14;96;2700
2.2314190573524684e-05;15;10;2800
0.0001625933509785682;15;110;2900
2.652430339367129e-05;16;24;3000
5.7086017477558926e-05;16;124;3100
6.858575943624601e-05;17;38;3200
0.00550327030941844;17;138;3300
0.006189281586557627;18;52;3400
0.022385822609066963;18;152;3500
0.0037873093970119953;19;66;3600
0.010367536917328835;19;166;3700
0.00010485955135663971;20;80;3800
4.0995917515829206e-05;20;180;3900
5.2245806728024036e-05;21;94;4000
1.8508400899008848e-05;22;8;4100
1.598798371560406e-05;22;108;4200
0.00010070972348330542;23;22;4300
2.0320938347140327e-05;23;122;4400
2.463379678374622e-05;24;36;4500
0.012165240943431854;24;136;4600
